player1,player2,player3,player4,player5,player6,player7,player8,player9,player10,rad_win
Huskar,Bloodseeker,Mirana,Venomancer,Slardar,Sniper,Riki,Spirit Breaker,Lion,Juggernaut,True
Spirit Breaker,Windranger,Monkey King,Slardar,Bane,Enigma,Viper,Medusa,Dazzle,Tidehunter,True
Weaver,Enigma,Vengeful Spirit,Luna,Winter Wyvern,Techies,Phantom Assassin,Nyx Assassin,Lifestealer,Keeper of the Light,True
Jakiro,Lina,Phantom Lancer,Huskar,Lone Druid,Tidehunter,Shadow Fiend,Templar Assassin,Beastmaster,Lich,True
Beastmaster,Vengeful Spirit,Jakiro,Broodmother,Kunkka,Io,Shadow Demon,Chen,Weaver,Earth Spirit,True
Silencer,Troll Warlord,Mirana,Chaos Knight,Underlord,Alchemist,Necrophos,Lina,Nyx Assassin,Phantom Assassin,True
Gyrocopter,Chen,Timbersaw,Warlock,Zeus,Phantom Assassin,Invoker,Shadow Shaman,Tiny,Necrophos,True
Dragon Knight,Storm Spirit,Visage,Lion,Enigma,Drow Ranger,Bristleback,Earth Spirit,Zeus,Tidehunter,False
Skywrath Mage,Alchemist,Ursa,Ancient Apparition,Shadow Fiend,Riki,Lina,Kunkka,Undying,Viper,True
Tusk,Oracle,Ancient Apparition,Disruptor,Axe,Ember Spirit,Omniknight,Outworld Devourer,Enchantress,Kunkka,True
Chaos Knight,Queen of Pain,Vengeful Spirit,Morphling,Bristleback,Juggernaut,Lion,Puck,Necrophos,Slardar,True
Winter Wyvern,Timbersaw,Juggernaut,Anti-Mage,Storm Spirit,Bounty Hunter,Jakiro,Slardar,Omniknight,Invoker,True
Ancient Apparition,Queen of Pain,Pugna,Viper,Skywrath Mage,Clinkz,Weaver,Pudge,Drow Ranger,Rubick,False
Oracle,Centaur Warrunner,Timbersaw,Huskar,Ember Spirit,Jakiro,Shadow Fiend,Slardar,Nyx Assassin,Troll Warlord,False
Outworld Devourer,Anti-Mage,Bloodseeker,Death Prophet,Enchantress,Nature's Prophet,Shadow Shaman,Dazzle,Terrorblade,Huskar,False
Anti-Mage,Magnus,Shadow Fiend,Legion Commander,Gyrocopter,Clinkz,Templar Assassin,Riki,Sniper,Timbersaw,False
Outworld Devourer,Sven,Lion,Bane,Invoker,Clinkz,Wraith King,Skywrath Mage,Morphling,Phantom Lancer,True
Anti-Mage,Kunkka,Legion Commander,Pugna,Sand King,Clinkz,Puck,Bounty Hunter,Ancient Apparition,Drow Ranger,False
Chen,Gyrocopter,Shadow Shaman,Undying,Rubick,Vengeful Spirit,Abaddon,Faceless Void,Terrorblade,Juggernaut,False
Luna,Viper,Dazzle,Crystal Maiden,Witch Doctor,Rubick,Ancient Apparition,Bloodseeker,Nyx Assassin,Winter Wyvern,True
Drow Ranger,Kunkka,Luna,Earthshaker,Medusa,Night Stalker,Viper,Jakiro,Rubick,Nyx Assassin,True
Ursa,Elder Titan,Tinker,Tiny,Night Stalker,Invoker,Meepo,Death Prophet,Sand King,Beastmaster,False
Huskar,Ember Spirit,Sniper,Luna,Enigma,Silencer,Sven,Centaur Warrunner,Phoenix,Puck,False
Spectre,Shadow Fiend,Sven,Bane,Axe,Kunkka,Venomancer,Viper,Clinkz,Alchemist,True
Earth Spirit,Queen of Pain,Meepo,Kunkka,Timbersaw,Invoker,Bristleback,Sven,Necrophos,Anti-Mage,False
Silencer,Puck,Slark,Night Stalker,Morphling,Pudge,Sniper,Techies,Templar Assassin,Lifestealer,True
Earth Spirit,Pudge,Slardar,Kunkka,Timbersaw,Spirit Breaker,Phoenix,Io,Elder Titan,Treant Protector,False
Wraith King,Omniknight,Zeus,Timbersaw,Necrophos,Lich,Juggernaut,Tidehunter,Ursa,Silencer,False
Earth Spirit,Invoker,Bounty Hunter,Clinkz,Skywrath Mage,Outworld Devourer,Abaddon,Bane,Luna,Spectre,True
Magnus,Phantom Lancer,Luna,Juggernaut,Storm Spirit,Dazzle,Anti-Mage,Windranger,Arc Warden,Undying,False
Gyrocopter,Broodmother,Clinkz,Axe,Pudge,Rubick,Chaos Knight,Earthshaker,Elder Titan,Queen of Pain,True
Io,Chaos Knight,Alchemist,Tidehunter,Lycan,Tiny,Storm Spirit,Razor,Phantom Lancer,Bane,False
Jakiro,Wraith King,Sven,Clinkz,Axe,Skywrath Mage,Enigma,Phantom Assassin,Magnus,Bounty Hunter,False
Puck,Kunkka,Legion Commander,Monkey King,Windranger,Invoker,Slark,Juggernaut,Huskar,Enigma,True
Terrorblade,Undying,Omniknight,Necrophos,Timbersaw,Rubick,Kunkka,Arc Warden,Tidehunter,Batrider,True
Enigma,Dark Seer,Dragon Knight,Silencer,Sniper,Venomancer,Invoker,Lich,Juggernaut,Pudge,False
Lone Druid,Winter Wyvern,Venomancer,Nyx Assassin,Phantom Lancer,Juggernaut,Shadow Demon,Drow Ranger,Luna,Bloodseeker,True
Spirit Breaker,Earthshaker,Queen of Pain,Shadow Shaman,Sniper,Phantom Lancer,Earth Spirit,Spectre,Treant Protector,Clockwerk,True
Invoker,Lone Druid,Witch Doctor,Lifestealer,Dazzle,Doom,Weaver,Sniper,Centaur Warrunner,Earth Spirit,True
Legion Commander,Tiny,Kunkka,Alchemist,Drow Ranger,Invoker,Witch Doctor,Ursa,Lich,Underlord,False
Outworld Devourer,Leshrac,Warlock,Winter Wyvern,Visage,Bane,Witch Doctor,Enchantress,Bloodseeker,Vengeful Spirit,True
Chaos Knight,Ogre Magi,Outworld Devourer,Wraith King,Tiny,Bloodseeker,Juggernaut,Invoker,Lich,Doom,False
Razor,Chaos Knight,Spirit Breaker,Pudge,Tidehunter,Rubick,Slark,Witch Doctor,Morphling,Wraith King,True
Lifestealer,Kunkka,Invoker,Night Stalker,Slardar,Monkey King,Morphling,Lion,Zeus,Nature's Prophet,True
Vengeful Spirit,Elder Titan,Puck,Pugna,Huskar,Enchantress,Lion,Clinkz,Undying,Brewmaster,True
Brewmaster,Tinker,Leshrac,Beastmaster,Keeper of the Light,Dragon Knight,Broodmother,Phantom Assassin,Vengeful Spirit,Nyx Assassin,True
Elder Titan,Drow Ranger,Zeus,Warlock,Spectre,Luna,Oracle,Outworld Devourer,Tidehunter,Magnus,True
Windranger,Viper,Doom,Monkey King,Sniper,Vengeful Spirit,Nyx Assassin,Earthshaker,Phantom Assassin,Slark,True
Tinker,Necrophos,Naga Siren,Nature's Prophet,Invoker,Earthshaker,Bristleback,Tidehunter,Pudge,Witch Doctor,True
Shadow Fiend,Riki,Wraith King,Lone Druid,Disruptor,Timbersaw,Monkey King,Earth Spirit,Lion,Troll Warlord,True
Luna,Lina,Earth Spirit,Lion,Nyx Assassin,Warlock,Elder Titan,Centaur Warrunner,Outworld Devourer,Monkey King,False
Juggernaut,Mirana,Witch Doctor,Kunkka,Sniper,Weaver,Puck,Huskar,Spirit Breaker,Disruptor,True
Drow Ranger,Juggernaut,Magnus,Spirit Breaker,Lina,Anti-Mage,Slardar,Abaddon,Zeus,Dragon Knight,True
Anti-Mage,Ember Spirit,Vengeful Spirit,Oracle,Venomancer,Weaver,Ursa,Outworld Devourer,Clinkz,Tusk,True
Lich,Phantom Lancer,Queen of Pain,Gyrocopter,Sniper,Axe,Wraith King,Tinker,Dark Seer,Witch Doctor,True
Tinker,Visage,Drow Ranger,Dazzle,Pudge,Sniper,Shadow Shaman,Riki,Silencer,Invoker,False
Chen,Juggernaut,Drow Ranger,Tusk,Techies,Phantom Assassin,Phoenix,Morphling,Necrophos,Anti-Mage,True
Sand King,Elder Titan,Naga Siren,Night Stalker,Magnus,Underlord,Anti-Mage,Storm Spirit,Zeus,Tusk,True
Spirit Breaker,Pudge,Meepo,Rubick,Mirana,Invoker,Sand King,Skywrath Mage,Monkey King,Lone Druid,True
Dragon Knight,Ursa,Sand King,Lone Druid,Warlock,Bristleback,Pudge,Necrophos,Huskar,Earthshaker,False
Axe,Clinkz,Meepo,Timbersaw,Earthshaker,Shadow Shaman,Sand King,Lycan,Ursa,Necrophos,True
Monkey King,Kunkka,Lifestealer,Bloodseeker,Puck,Queen of Pain,Warlock,Bounty Hunter,Shadow Fiend,Sand King,True
Skywrath Mage,Sniper,Invoker,Drow Ranger,Necrophos,Tusk,Clockwerk,Broodmother,Razor,Viper,False
Phantom Lancer,Pudge,Medusa,Windranger,Huskar,Spirit Breaker,Jakiro,Morphling,Legion Commander,Lina,False
Phantom Assassin,Ursa,Medusa,Shadow Fiend,Lion,Chaos Knight,Bounty Hunter,Luna,Keeper of the Light,Centaur Warrunner,True
Chaos Knight,Drow Ranger,Pudge,Alchemist,Shadow Fiend,Invoker,Anti-Mage,Bounty Hunter,Lifestealer,Clinkz,True
Nyx Assassin,Queen of Pain,Kunkka,Gyrocopter,Slark,Shadow Demon,Visage,Rubick,Warlock,Chen,True
Ogre Magi,Anti-Mage,Pudge,Pugna,Spectre,Phantom Assassin,Invoker,Troll Warlord,Wraith King,Sniper,True
Crystal Maiden,Bloodseeker,Lion,Sniper,Drow Ranger,Treant Protector,Alchemist,Sven,Kunkka,Invoker,True
Sand King,Wraith King,Tiny,Mirana,Shadow Shaman,Crystal Maiden,Monkey King,Shadow Fiend,Silencer,Clockwerk,True
Venomancer,Riki,Brewmaster,Night Stalker,Io,Ancient Apparition,Kunkka,Storm Spirit,Monkey King,Clockwerk,False
Pudge,Storm Spirit,Phantom Assassin,Necrophos,Slark,Tinker,Jakiro,Axe,Riki,Sniper,True
Lina,Ancient Apparition,Earthshaker,Luna,Faceless Void,Phantom Assassin,Ember Spirit,Shadow Shaman,Bristleback,Pudge,False
Necrophos,Riki,Bloodseeker,Anti-Mage,Drow Ranger,Terrorblade,Pugna,Death Prophet,Earthshaker,Clinkz,False
Slark,Sven,Legion Commander,Pudge,Silencer,Techies,Lina,Luna,Chaos Knight,Abaddon,False
Pugna,Techies,Enchantress,Crystal Maiden,Skywrath Mage,Magnus,Dazzle,Kunkka,Vengeful Spirit,Timbersaw,True
Queen of Pain,Necrophos,Lion,Visage,Bane,Kunkka,Sand King,Sven,Nature's Prophet,Medusa,False
Chaos Knight,Morphling,Anti-Mage,Axe,Magnus,Bristleback,Terrorblade,Phantom Lancer,Earth Spirit,Juggernaut,True
Death Prophet,Legion Commander,Broodmother,Lion,Luna,Omniknight,Kunkka,Slark,Disruptor,Clinkz,True
Clinkz,Tiny,Bane,Keeper of the Light,Faceless Void,Axe,Necrophos,Queen of Pain,Troll Warlord,Ember Spirit,True
Legion Commander,Phantom Assassin,Ursa,Drow Ranger,Timbersaw,Troll Warlord,Night Stalker,Pudge,Treant Protector,Dark Seer,True
Enchantress,Axe,Troll Warlord,Pudge,Slardar,Centaur Warrunner,Earth Spirit,Death Prophet,Phantom Assassin,Enigma,True
Tinker,Morphling,Chen,Meepo,Nature's Prophet,Ancient Apparition,Mirana,Vengeful Spirit,Invoker,Zeus,True
Earth Spirit,Night Stalker,Huskar,Monkey King,Puck,Lina,Doom,Ogre Magi,Crystal Maiden,Razor,False
Bloodseeker,Lion,Elder Titan,Kunkka,Puck,Windranger,Phoenix,Gyrocopter,Batrider,Tidehunter,True
Sven,Huskar,Invoker,Sand King,Earthshaker,Silencer,Necrophos,Troll Warlord,Weaver,Nature's Prophet,True
Death Prophet,Treant Protector,Enigma,Slark,Gyrocopter,Night Stalker,Zeus,Lina,Phantom Assassin,Necrophos,True
Techies,Witch Doctor,Skywrath Mage,Death Prophet,Leshrac,Arc Warden,Earthshaker,Winter Wyvern,Ember Spirit,Axe,False
Invoker,Necrophos,Shadow Shaman,Legion Commander,Spectre,Crystal Maiden,Shadow Fiend,Viper,Morphling,Wraith King,True
Bristleback,Wraith King,Sand King,Mirana,Clinkz,Dragon Knight,Oracle,Winter Wyvern,Lina,Terrorblade,False
Nature's Prophet,Crystal Maiden,Keeper of the Light,Clockwerk,Slark,Tidehunter,Outworld Devourer,Jakiro,Warlock,Death Prophet,True
Legion Commander,Underlord,Tiny,Wraith King,Doom,Treant Protector,Bounty Hunter,Tidehunter,Huskar,Io,False
Weaver,Shadow Fiend,Keeper of the Light,Spirit Breaker,Crystal Maiden,Gyrocopter,Enchantress,Slark,Outworld Devourer,Magnus,False
Venomancer,Bounty Hunter,Clinkz,Bristleback,Keeper of the Light,Winter Wyvern,Skywrath Mage,Witch Doctor,Tiny,Phantom Assassin,True
Phantom Assassin,Monkey King,Lifestealer,Pudge,Viper,Zeus,Razor,Weaver,Pugna,Omniknight,True
Tiny,Earthshaker,Winter Wyvern,Magnus,Bloodseeker,Mirana,Bane,Viper,Terrorblade,Lion,False
Zeus,Sniper,Lone Druid,Legion Commander,Pudge,Bounty Hunter,Riki,Chaos Knight,Ember Spirit,Dragon Knight,True
Clinkz,Timbersaw,Doom,Wraith King,Lifestealer,Bounty Hunter,Kunkka,Sven,Treant Protector,Elder Titan,True
Slardar,Chaos Knight,Disruptor,Dazzle,Ursa,Sand King,Nature's Prophet,Sven,Viper,Earthshaker,False
Tidehunter,Nyx Assassin,Shadow Demon,Spectre,Razor,Earthshaker,Legion Commander,Naga Siren,Centaur Warrunner,Shadow Fiend,False
Tinker,Faceless Void,Lifestealer,Sven,Queen of Pain,Pudge,Clockwerk,Doom,Sniper,Vengeful Spirit,False
Tidehunter,Sven,Viper,Ursa,Drow Ranger,Dragon Knight,Clinkz,Enchantress,Queen of Pain,Ember Spirit,True
Zeus,Earthshaker,Earth Spirit,Dark Seer,Terrorblade,Enigma,Phantom Lancer,Abaddon,Dazzle,Vengeful Spirit,True
Timbersaw,Invoker,Riki,Rubick,Troll Warlord,Huskar,Spirit Breaker,Ancient Apparition,Mirana,Necrophos,True
Wraith King,Ursa,Beastmaster,Sniper,Legion Commander,Phantom Lancer,Drow Ranger,Axe,Phantom Assassin,Omniknight,False
Zeus,Viper,Monkey King,Tidehunter,Meepo,Sven,Batrider,Bloodseeker,Axe,Phantom Assassin,True
Weaver,Pudge,Shadow Shaman,Meepo,Windranger,Legion Commander,Shadow Fiend,Huskar,Razor,Kunkka,False
Leshrac,Nyx Assassin,Lifestealer,Razor,Abaddon,Kunkka,Storm Spirit,Oracle,Enigma,Underlord,True
Undying,Ogre Magi,Arc Warden,Alchemist,Morphling,Lifestealer,Kunkka,Earth Spirit,Dark Seer,Invoker,True
Nyx Assassin,Tinker,Sniper,Spirit Breaker,Dark Seer,Sven,Legion Commander,Juggernaut,Death Prophet,Phantom Assassin,False
Mirana,Windranger,Warlock,Lifestealer,Slardar,Nyx Assassin,Phantom Lancer,Gyrocopter,Clinkz,Magnus,True
Bloodseeker,Chen,Broodmother,Shadow Fiend,Chaos Knight,Crystal Maiden,Monkey King,Kunkka,Io,Lich,True
Pudge,Juggernaut,Windranger,Brewmaster,Legion Commander,Necrophos,Invoker,Ember Spirit,Troll Warlord,Earthshaker,False
Luna,Vengeful Spirit,Drow Ranger,Beastmaster,Abaddon,Terrorblade,Morphling,Legion Commander,Dragon Knight,Underlord,True
Kunkka,Pugna,Ogre Magi,Ursa,Crystal Maiden,Chen,Warlock,Ancient Apparition,Oracle,Bane,True
Anti-Mage,Sniper,Bounty Hunter,Jakiro,Elder Titan,Tiny,Shadow Shaman,Mirana,Monkey King,Bloodseeker,False
Razor,Kunkka,Phantom Assassin,Meepo,Puck,Underlord,Magnus,Tidehunter,Spectre,Dark Seer,False
Shadow Shaman,Naga Siren,Broodmother,Io,Lina,Bloodseeker,Morphling,Clinkz,Shadow Fiend,Luna,True
Drow Ranger,Clinkz,Terrorblade,Lycan,Troll Warlord,Crystal Maiden,Dark Seer,Brewmaster,Dragon Knight,Treant Protector,True
Death Prophet,Phantom Lancer,Bristleback,Phantom Assassin,Queen of Pain,Broodmother,Luna,Naga Siren,Drow Ranger,Anti-Mage,True
Monkey King,Legion Commander,Phantom Assassin,Crystal Maiden,Vengeful Spirit,Chaos Knight,Dragon Knight,Batrider,Spirit Breaker,Troll Warlord,True
Slardar,Spectre,Elder Titan,Viper,Jakiro,Phoenix,Doom,Visage,Nature's Prophet,Ancient Apparition,True
Nyx Assassin,Warlock,Templar Assassin,Storm Spirit,Batrider,Disruptor,Phantom Assassin,Axe,Bristleback,Weaver,True
Tiny,Phantom Assassin,Legion Commander,Skywrath Mage,Troll Warlord,Meepo,Winter Wyvern,Techies,Shadow Demon,Io,True
Monkey King,Pudge,Clockwerk,Phantom Assassin,Skywrath Mage,Windranger,Tidehunter,Luna,Legion Commander,Tinker,True
Lone Druid,Dragon Knight,Death Prophet,Centaur Warrunner,Anti-Mage,Sniper,Witch Doctor,Terrorblade,Kunkka,Ursa,False
Shadow Fiend,Necrophos,Oracle,Tidehunter,Riki,Terrorblade,Nyx Assassin,Spectre,Naga Siren,Phantom Assassin,True
Bloodseeker,Jakiro,Timbersaw,Spirit Breaker,Zeus,Pudge,Axe,Phantom Assassin,Anti-Mage,Lion,False
Alchemist,Riki,Zeus,Medusa,Naga Siren,Phantom Lancer,Huskar,Earth Spirit,Leshrac,Undying,True
Beastmaster,Nature's Prophet,Witch Doctor,Dragon Knight,Kunkka,Enigma,Queen of Pain,Juggernaut,Legion Commander,Visage,True
Queen of Pain,Legion Commander,Enigma,Kunkka,Dark Seer,Jakiro,Invoker,Sniper,Windranger,Troll Warlord,False
Tiny,Pugna,Wraith King,Bounty Hunter,Slark,Monkey King,Dark Seer,Phantom Lancer,Queen of Pain,Lich,True
Ancient Apparition,Venomancer,Invoker,Brewmaster,Monkey King,Wraith King,Rubick,Anti-Mage,Queen of Pain,Sniper,False
Keeper of the Light,Rubick,Necrophos,Spirit Breaker,Clinkz,Invoker,Naga Siren,Earthshaker,Disruptor,Viper,True
Troll Warlord,Necrophos,Ember Spirit,Doom,Lycan,Nyx Assassin,Sniper,Alchemist,Clockwerk,Faceless Void,False
Omniknight,Earth Spirit,Slardar,Treant Protector,Elder Titan,Phoenix,Lifestealer,Sven,Earthshaker,Tiny,True
Legion Commander,Sniper,Dragon Knight,Shadow Fiend,Bane,Techies,Weaver,Oracle,Ursa,Templar Assassin,True
Storm Spirit,Elder Titan,Keeper of the Light,Slardar,Batrider,Tidehunter,Bristleback,Ancient Apparition,Chen,Invoker,True
Razor,Necrophos,Monkey King,Shadow Shaman,Bounty Hunter,Lina,Mirana,Lion,Kunkka,Anti-Mage,False
Windranger,Medusa,Ember Spirit,Bristleback,Sand King,Juggernaut,Lina,Lycan,Clinkz,Spectre,True
Faceless Void,Death Prophet,Spectre,Nyx Assassin,Dragon Knight,Skywrath Mage,Centaur Warrunner,Medusa,Tiny,Lich,False
Legion Commander,Riki,Crystal Maiden,Wraith King,Invoker,Lich,Bounty Hunter,Bloodseeker,Underlord,Weaver,False
Monkey King,Pudge,Wraith King,Ancient Apparition,Phantom Assassin,Centaur Warrunner,Pugna,Gyrocopter,Enchantress,Ursa,False
Earth Spirit,Timbersaw,Venomancer,Jakiro,Tiny,Shadow Fiend,Mirana,Keeper of the Light,Ursa,Rubick,False
Puck,Shadow Fiend,Mirana,Pugna,Tusk,Arc Warden,Crystal Maiden,Gyrocopter,Spirit Breaker,Rubick,True
Bounty Hunter,Undying,Nature's Prophet,Bristleback,Luna,Omniknight,Razor,Warlock,Juggernaut,Slark,True
Witch Doctor,Riki,Monkey King,Earthshaker,Anti-Mage,Keeper of the Light,Venomancer,Pudge,Troll Warlord,Windranger,True
Shadow Shaman,Earthshaker,Crystal Maiden,Viper,Necrophos,Lich,Nature's Prophet,Drow Ranger,Arc Warden,Jakiro,False
Spirit Breaker,Tiny,Troll Warlord,Clinkz,Magnus,Legion Commander,Weaver,Shadow Demon,Kunkka,Axe,True
Huskar,Kunkka,Clinkz,Witch Doctor,Spirit Breaker,Lich,Pudge,Mirana,Puck,Monkey King,False
Enchantress,Lone Druid,Enigma,Shadow Fiend,Phantom Assassin,Techies,Abaddon,Leshrac,Slark,Monkey King,True
Kunkka,Alchemist,Sven,Slardar,Clockwerk,Necrophos,Enigma,Visage,Nature's Prophet,Broodmother,True
Drow Ranger,Bane,Doom,Lifestealer,Ancient Apparition,Tiny,Silencer,Spirit Breaker,Axe,Phantom Assassin,True
Anti-Mage,Treant Protector,Troll Warlord,Templar Assassin,Bristleback,Bloodseeker,Razor,Invoker,Meepo,Spirit Breaker,True
Storm Spirit,Huskar,Witch Doctor,Monkey King,Enigma,Lina,Luna,Necrophos,Bane,Lone Druid,False
Ember Spirit,Huskar,Dazzle,Enchantress,Wraith King,Invoker,Night Stalker,Weaver,Enigma,Necrophos,True
Slark,Troll Warlord,Dazzle,Earth Spirit,Puck,Keeper of the Light,Sniper,Weaver,Ogre Magi,Pudge,True
Broodmother,Axe,Clinkz,Ogre Magi,Ursa,Phantom Assassin,Luna,Disruptor,Storm Spirit,Anti-Mage,False
Sniper,Anti-Mage,Phantom Assassin,Juggernaut,Templar Assassin,Earthshaker,Bloodseeker,Viper,Legion Commander,Pugna,False
Terrorblade,Juggernaut,Razor,Shadow Shaman,Kunkka,Leshrac,Jakiro,Warlock,Io,Necrophos,True
Oracle,Silencer,Luna,Slark,Tiny,Sniper,Lifestealer,Shadow Fiend,Shadow Shaman,Undying,False
Gyrocopter,Bloodseeker,Faceless Void,Bristleback,Legion Commander,Timbersaw,Luna,Zeus,Axe,Sven,False
Dazzle,Oracle,Legion Commander,Juggernaut,Sand King,Weaver,Shadow Demon,Skywrath Mage,Spirit Breaker,Earthshaker,True
Pudge,Rubick,Sniper,Bloodseeker,Anti-Mage,Troll Warlord,Shadow Fiend,Mirana,Legion Commander,Ancient Apparition,True
Jakiro,Skywrath Mage,Wraith King,Juggernaut,Nature's Prophet,Magnus,Gyrocopter,Earthshaker,Spectre,Disruptor,False
Chen,Sniper,Beastmaster,Razor,Juggernaut,Troll Warlord,Tinker,Silencer,Invoker,Omniknight,True
Phantom Assassin,Leshrac,Legion Commander,Wraith King,Windranger,Terrorblade,Juggernaut,Pugna,Bounty Hunter,Morphling,True
Sniper,Broodmother,Bloodseeker,Axe,Dragon Knight,Luna,Keeper of the Light,Morphling,Lone Druid,Clockwerk,False
Slardar,Pugna,Weaver,Night Stalker,Ogre Magi,Sand King,Omniknight,Spirit Breaker,Sven,Tiny,False
Lion,Sniper,Sven,Nature's Prophet,Phantom Lancer,Pudge,Earthshaker,Mirana,Huskar,Disruptor,False
Elder Titan,Ursa,Lifestealer,Naga Siren,Broodmother,Sand King,Silencer,Centaur Warrunner,Batrider,Treant Protector,True
Drow Ranger,Broodmother,Pudge,Beastmaster,Io,Nyx Assassin,Zeus,Magnus,Batrider,Lion,True
Juggernaut,Bristleback,Viper,Medusa,Ember Spirit,Morphling,Tusk,Timbersaw,Lone Druid,Shadow Fiend,True
Sniper,Windranger,Queen of Pain,Wraith King,Monkey King,Shadow Demon,Weaver,Venomancer,Axe,Lion,False
Morphling,Magnus,Invoker,Clinkz,Lina,Faceless Void,Tiny,Io,Shadow Shaman,Ursa,True
Viper,Mirana,Anti-Mage,Doom,Windranger,Zeus,Chen,Lich,Faceless Void,Spirit Breaker,True
Spirit Breaker,Riki,Razor,Night Stalker,Bounty Hunter,Spectre,Gyrocopter,Lion,Shadow Shaman,Batrider,True
Crystal Maiden,Anti-Mage,Earthshaker,Invoker,Silencer,Mirana,Phantom Assassin,Kunkka,Pudge,Elder Titan,True
Wraith King,Enchantress,Troll Warlord,Bane,Jakiro,Bloodseeker,Undying,Spirit Breaker,Monkey King,Techies,True
Necrophos,Naga Siren,Huskar,Bristleback,Slardar,Timbersaw,Witch Doctor,Wraith King,Drow Ranger,Weaver,True
Bloodseeker,Io,Anti-Mage,Lina,Spirit Breaker,Phantom Lancer,Nyx Assassin,Lion,Wraith King,Clinkz,True
Shadow Shaman,Ursa,Zeus,Sven,Luna,Juggernaut,Razor,Kunkka,Necrophos,Templar Assassin,False
Ursa,Night Stalker,Shadow Fiend,Lion,Weaver,Juggernaut,Sand King,Tiny,Tinker,Rubick,True
Sven,Phantom Assassin,Kunkka,Drow Ranger,Tinker,Invoker,Spectre,Techies,Rubick,Puck,True
Silencer,Bloodseeker,Juggernaut,Riki,Shadow Fiend,Sven,Windranger,Bounty Hunter,Phantom Assassin,Luna,True
Shadow Demon,Outworld Devourer,Sand King,Spectre,Huskar,Axe,Silencer,Viper,Anti-Mage,Monkey King,True
Crystal Maiden,Naga Siren,Pudge,Medusa,Pugna,Witch Doctor,Enigma,Zeus,Batrider,Alchemist,True
Doom,Crystal Maiden,Death Prophet,Wraith King,Lone Druid,Treant Protector,Phantom Assassin,Phantom Lancer,Bounty Hunter,Visage,True
Sven,Legion Commander,Earthshaker,Omniknight,Pugna,Anti-Mage,Troll Warlord,Naga Siren,Vengeful Spirit,Sand King,False
Clinkz,Pudge,Necrophos,Phantom Assassin,Arc Warden,Puck,Pugna,Bloodseeker,Axe,Ursa,False
Chen,Riki,Io,Morphling,Leshrac,Naga Siren,Razor,Lina,Night Stalker,Keeper of the Light,True
Night Stalker,Undying,Earth Spirit,Treant Protector,Faceless Void,Spirit Breaker,Sand King,Earthshaker,Bloodseeker,Huskar,False
Elder Titan,Windranger,Zeus,Jakiro,Monkey King,Clockwerk,Ancient Apparition,Centaur Warrunner,Juggernaut,Bristleback,True
Axe,Wraith King,Pudge,Lion,Luna,Dragon Knight,Bristleback,Phantom Assassin,Sniper,Bloodseeker,True
Anti-Mage,Pudge,Necrophos,Techies,Faceless Void,Phantom Assassin,Shadow Shaman,Bloodseeker,Night Stalker,Razor,True
Tusk,Clinkz,Huskar,Sven,Earth Spirit,Broodmother,Undying,Treant Protector,Kunkka,Clockwerk,False
Sven,Huskar,Drow Ranger,Witch Doctor,Silencer,Naga Siren,Shadow Demon,Outworld Devourer,Tusk,Venomancer,False
Storm Spirit,Zeus,Slardar,Juggernaut,Meepo,Clinkz,Lion,Pudge,Viper,Sven,False
Phantom Assassin,Death Prophet,Sniper,Phantom Lancer,Sand King,Necrophos,Lifestealer,Invoker,Juggernaut,Batrider,True
Tiny,Lycan,Tusk,Tidehunter,Timbersaw,Shadow Fiend,Anti-Mage,Drow Ranger,Techies,Crystal Maiden,False
Disruptor,Sniper,Lion,Lycan,Morphling,Io,Phantom Assassin,Monkey King,Anti-Mage,Axe,True
Queen of Pain,Wraith King,Legion Commander,Dazzle,Ancient Apparition,Shadow Fiend,Slardar,Phantom Lancer,Disruptor,Night Stalker,True
Sven,Anti-Mage,Sniper,Clinkz,Axe,Bristleback,Dragon Knight,Phantom Assassin,Huskar,Batrider,True
Vengeful Spirit,Mirana,Anti-Mage,Phantom Assassin,Broodmother,Tusk,Lina,Io,Wraith King,Tinker,True
Kunkka,Nature's Prophet,Enigma,Elder Titan,Huskar,Tusk,Meepo,Arc Warden,Sven,Pudge,True
Sniper,Earth Spirit,Viper,Skywrath Mage,Lich,Zeus,Troll Warlord,Nyx Assassin,Tusk,Windranger,True
Bristleback,Juggernaut,Windranger,Troll Warlord,Huskar,Silencer,Venomancer,Storm Spirit,Spirit Breaker,Zeus,True
Centaur Warrunner,Phoenix,Witch Doctor,Arc Warden,Rubick,Shadow Fiend,Riki,Elder Titan,Ember Spirit,Kunkka,True
Pudge,Monkey King,Viper,Axe,Tinker,Visage,Tidehunter,Luna,Dragon Knight,Bloodseeker,False
Tiny,Ogre Magi,Slardar,Slark,Sniper,Ember Spirit,Invoker,Lone Druid,Troll Warlord,Anti-Mage,True
Pugna,Undying,Abaddon,Gyrocopter,Jakiro,Rubick,Ancient Apparition,Skywrath Mage,Lycan,Lion,True
Huskar,Crystal Maiden,Nature's Prophet,Doom,Night Stalker,Vengeful Spirit,Legion Commander,Wraith King,Sniper,Sand King,True
Phantom Assassin,Alchemist,Bloodseeker,Ember Spirit,Huskar,Sniper,Legion Commander,Sven,Slark,Invoker,True
Faceless Void,Ursa,Queen of Pain,Sand King,Troll Warlord,Anti-Mage,Juggernaut,Bloodseeker,Invoker,Phantom Assassin,True
